gnu-coreutils	9.7-3ubuntu2
gnupg	2.4.8-4ubuntu3
gnupg-agent	2.4.8-4ubuntu3
gnupg-l10n	2.4.8-4ubuntu3
gnupg-utils	2.4.8-4ubuntu3
gnupg2	2.4.8-4ubuntu3
golang-github-containers-common	0.62.2+ds1-2
golang-github-containers-image	5.34.2-1
gpg	2.4.8-4ubuntu3
gpg-agent	2.4.8-4ubuntu3
gpg-wks-client	2.4.8-4ubuntu3
gpgconf	2.4.8-4ubuntu3
gpgsm	2.4.8-4ubuntu3
gpgv	2.4.8-4ubuntu3
grep	3.12-1
groff-base	1.23.0-10
grub-efi-amd64	2.14-2ubuntu1
grub-efi-amd64-bin	2.14-2ubuntu1
grub-efi-amd64-signed	1.215+2.14-2ubuntu1
grub-efi-amd64-unsigned	2.14-2ubuntu1
grub-pc	2.14~git20250718.0e36779-1ubuntu4
grub2-common	2.14-2ubuntu2.1
gsasl-common	2.2.2-4ubuntu1.1
gsettings-desktop-schemas	50.0-1ubuntu2
gstreamer1.0-plugins-base:amd64	1.28.2-1
gstreamer1.0-plugins-good:amd64	1.28.2-2ubuntu0.1
gstreamer1.0-x:amd64	1.28.2-1
gtk-update-icon-cache	4.22.4+ds-0ubuntu0.1
gtk2-engines-pixbuf:amd64	2.24.33-10
guile-3.0-libs:amd64	3.0.11-2
gzip	1.14-1~exp2ubuntu1.1
hicolor-icon-theme	0.18-2build1
hostname	3.25build1
hwctl	0.11.0-0ubuntu1
hwdata	0.394-1build1
ibus-gtk:amd64	1.5.34~rc2-1
ibus-gtk3:amd64	1.5.34~rc2-1
ibverbs-providers:amd64	61.0-2ubuntu3
ieee-data	20240722build1
init-system-helpers	1.69
initramfs-tools	0.151ubuntu1
initramfs-tools-bin	0.151ubuntu1
initramfs-tools-core	0.151ubuntu1
intel-microcode	3.20260210.1ubuntu2
iproute2	6.19.0-1ubuntu1.1
iptables	1.8.11-2ubuntu3
iputils-ping	3:20250605-1ubuntu1
ipxe	1.21.1+git-20250829.969ce2c55+dfsg-3ubuntu2
